id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count
299534,Avengers: Endgame,Adventure-Science Fiction-Action,en,After the devastating events of Avengers: Infinity War the universe is in ruins due to the efforts of the Mad Titan Thanos. With the help of remaining allies the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all no matter what consequences may be in store.,201.42,Marvel Studios,4/24/19,356000000,2799439100,181,Released,Avenge the fallen.,8.268,22759
76600,Avatar: The Way of Water,Science Fiction-Adventure-Action,en,Set more than a decade after the events of the first film learn the story of the Sully family (Jake Neytiri and their kids) the trouble that follows them the lengths they go to keep each other safe the battles they fight to stay alive and the tragedies they endure.,298.881,20th Century Studios-Lightstorm Entertainment,12/14/22,460000000,2320250281,192
597,Titanic,Drama-Romance,en,101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic 84 years later. A young Rose boards the ship with her mother and fiancí©. Meanwhile Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its deathäóîon its first and last voyageäóîon April 15 1912.,167.631
140607,Star Wars: The Force Awakens,Adventure-Action-Science Fiction,en,Thirty years after defeating the Galactic Empire Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.,64.877,Lucasfilm Ltd.-Bad Robot,12/15/15,245000000,2068223624,136,Released,Every generation has a story.,7.289,18501
299536,Avengers: Infinity War,Adventure-Action-Science Fiction,en,As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy his goal is to collect all six Infinity Stones artifacts of unimaginable power and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.,188.593,Marvel Studios,4/25/18,300000000,2052415039,149
634649,Spider-Man: No Way Home,Action-Adventure-Science Fiction,en,Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous forcing him to discover what it truly means to be Spider-Man.,215.904,Marvel Studios-Pascal Pictures-Columbia Pictures,12/15/21,200000000,1921847111,148,Released,The Multiverse unleashed.,7.992,18149
135397,Jurassic World,Action-Adventure-Science Fiction-Thriller,en,Twenty-two years after the events of Jurassic Park Isla Nublar now features a fully functioning dinosaur theme park Jurassic World as originally envisioned by John Hammond.,104.103,Amblin Entertainment-Universal Pictures,6/12/15,150000000,1671537444,124
420818,The Lion King,Adventure-Drama-Family,en,Simba idolizes his father King Mufasa and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar Mufasa's brotheräóîand former heir to the throneäóîhas plans of his own. The battle for Pride Rock is ravaged with betrayal tragedy and drama ultimately resulting in Simba's exile. With help from a curious pair of newfound friends Simba will have to figure out how to grow up and take back what is rightfully his.,131.16,Walt Disney Pictures-Fairview Entertainment,7/12/19,260000000,1663075401,118
